"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL1270302";"";"";"Small molecule";"";"408.89";"5";"5";"3.56";"67.35";"5";"1";"0";"5";"N";"0.70";"13.94";"6.13";"3.07";"3.05";"3";"MOL";"-1";"29";"6";"1";"0";"408.1353";"-1.93";"NEUTRAL";"C22H21ClN4O2";"O=C(NCc1cccnc1N1CCOCC1)c1cncc(-c2ccc(Cl)cc2)c1";"FNEDVEXAIMFBRN-UHFFFAOYSA-N";"InChI=1S/C22H21ClN4O2/c23-20-5-3-16(4-6-20)18-12-19(14-24-13-18)22(28)26-15-17-2-1-7-25-21(17)27-8-10-29-11-9-27/h1-7,12-14H,8-11,15H2,(H,26,28)";"False";"-1"
"CHEMBL251066";"";"";"Small molecule";"";"312.76";"1";"1";"4.56";"55.13";"3";"1";"0";"3";"N";"0.77";"13.70";"6.30";"3.21";"3.18";"3";"MOL";"-1";"22";"4";"1";"0";"312.0666";"-1.73";"NEUTRAL";"C17H13ClN2O2";"Cc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)ccn1";"JULTVCVBNILRCH-UHFFFAOYSA-N";"InChI=1S/C17H13ClN2O2/c1-11-10-14(8-9-19-11)20-17(21)16-7-6-15(22-16)12-2-4-13(18)5-3-12/h2-10H,1H3,(H,19,20,21)";"False";"-1"
"CHEMBL250699";"";"A-803467";"Small molecule";"";"357.79";"67";"221";"4.87";"60.70";"4";"1";"0";"5";"N";"0.71";"13.76";"None";"3.98";"3.98";"3";"MOL";"-1";"25";"5";"1";"0";"357.0768";"-1.37";"NEUTRAL";"C19H16ClNO4";"COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1";"VHKBTPQDHDSBSP-UHFFFAOYSA-N";"InChI=1S/C19H16ClNO4/c1-23-15-9-14(10-16(11-15)24-2)21-19(22)18-8-7-17(25-18)12-3-5-13(20)6-4-12/h3-11H,1-2H3,(H,21,22)";"False";"-1"
"CHEMBL429830";"";"";"Small molecule";"";"321.38";"1";"1";"4.91";"51.47";"3";"1";"0";"5";"N";"0.73";"None";"None";"4.41";"4.41";"3";"MOL";"-1";"24";"4";"1";"0";"321.1365";"-1.70";"NEUTRAL";"C20H19NO3";"CCOc1ccc(-c2ccc(C(=O)Nc3cccc(C)c3)o2)cc1";"OYINDXYEWWOYJC-UHFFFAOYSA-N";"InChI=1S/C20H19NO3/c1-3-23-17-9-7-15(8-10-17)18-11-12-19(24-18)20(22)21-16-6-4-5-14(2)13-16/h4-13H,3H2,1-2H3,(H,21,22)";"False";"-1"
"CHEMBL427714";"";"";"Small molecule";"";"325.80";"1";"1";"4.84";"42.24";"2";"1";"0";"4";"N";"0.75";"None";"None";"4.52";"4.52";"3";"MOL";"-1";"23";"3";"1";"0";"325.0870";"-1.61";"NEUTRAL";"C19H16ClNO2";"Cc1ccccc1CNC(=O)c1ccc(-c2ccc(Cl)cc2)o1";"VKVGXZVKRLBKHA-UHFFFAOYSA-N";"InChI=1S/C19H16ClNO2/c1-13-4-2-3-5-15(13)12-21-19(22)18-11-10-17(23-18)14-6-8-16(20)9-7-14/h2-11H,12H2,1H3,(H,21,22)";"False";"-1"
"CHEMBL482676";"";"";"Small molecule";"";"372.90";"7";"16";"4.69";"36.69";"3";"0";"0";"3";"N";"0.78";"None";"7.73";"4.15";"3.65";"2";"MOL";"-1";"26";"4";"0";"0";"372.1605";"-1.34";"NEUTRAL";"C21H25ClN2O2";"O=C(c1ccc(-c2ccc(Cl)cc2)o1)N1CCN(C2CCCCC2)CC1";"OWKCSDFZMUWPDJ-UHFFFAOYSA-N";"InChI=1S/C21H25ClN2O2/c22-17-8-6-16(7-9-17)19-10-11-20(26-19)21(25)24-14-12-23(13-15-24)18-4-2-1-3-5-18/h6-11,18H,1-5,12-15H2";"False";"-1"
"CHEMBL400958";"";"";"Small molecule";"";"325.80";"1";"1";"5.19";"33.45";"2";"0";"1";"3";"N";"0.66";"None";"None";"4.67";"4.67";"3";"MOL";"-1";"23";"3";"0";"1";"325.0870";"-1.74";"NEUTRAL";"C19H16ClNO2";"Cc1cccc(N(C)C(=O)c2ccc(-c3ccc(Cl)cc3)o2)c1";"MIJSDLWKDQTMIZ-UHFFFAOYSA-N";"InChI=1S/C19H16ClNO2/c1-13-4-3-5-16(12-13)21(2)19(22)18-11-10-17(23-18)14-6-8-15(20)9-7-14/h3-12H,1-2H3";"False";"-1"
"CHEMBL254383";"";"";"Small molecule";"";"345.32";"1";"1";"5.53";"42.24";"2";"1";"1";"3";"N";"0.68";"None";"None";"5.08";"5.08";"3";"MOL";"-1";"25";"3";"1";"1";"345.0977";"-1.87";"NEUTRAL";"C19H14F3NO2";"Cc1cccc(NC(=O)c2ccc(-c3cccc(C(F)(F)F)c3)o2)c1";"SXOULJFZLXEMCT-UHFFFAOYSA-N";"InChI=1S/C19H14F3NO2/c1-12-4-2-7-15(10-12)23-18(24)17-9-8-16(25-17)13-5-3-6-14(11-13)19(20,21)22/h2-11H,1H3,(H,23,24)";"False";"-1"
"CHEMBL250444";"";"";"Small molecule";"";"355.42";"1";"1";"3.91";"76.38";"4";"1";"0";"4";"N";"0.77";"None";"None";"3.05";"3.05";"3";"MOL";"-1";"25";"5";"1";"0";"355.0878";"-1.83";"NEUTRAL";"C19H17NO4S";"Cc1cccc(NC(=O)c2ccc(-c3ccc(S(C)(=O)=O)cc3)o2)c1";"IAVGDMHOLZCTBP-UHFFFAOYSA-N";"InChI=1S/C19H17NO4S/c1-13-4-3-5-15(12-13)20-19(21)18-11-10-17(24-18)14-6-8-16(9-7-14)25(2,22)23/h3-12H,1-2H3,(H,20,21)";"False";"-1"
"CHEMBL250876";"";"";"Small molecule";"";"352.82";"1";"1";"4.84";"45.48";"3";"1";"0";"3";"N";"0.73";"None";"3.44";"4.44";"4.44";"3";"MOL";"-1";"25";"4";"1";"0";"352.0979";"-1.53";"NEUTRAL";"C20H17ClN2O2";"CN1CCc2ccc(NC(=O)c3ccc(-c4ccc(Cl)cc4)o3)cc21";"GHZMGTAOVOLKRX-UHFFFAOYSA-N";"InChI=1S/C20H17ClN2O2/c1-23-11-10-13-4-7-16(12-17(13)23)22-20(24)19-9-8-18(25-19)14-2-5-15(21)6-3-14/h2-9,12H,10-11H2,1H3,(H,22,24)";"False";"-1"
"CHEMBL250877";"";"";"Small molecule";"";"366.85";"8";"16";"5.23";"45.48";"3";"1";"1";"3";"N";"0.69";"None";"4.61";"4.89";"4.89";"3";"MOL";"-1";"26";"4";"1";"1";"366.1135";"-1.78";"NEUTRAL";"C21H19ClN2O2";"CN1CCCc2cc(NC(=O)c3ccc(-c4ccc(Cl)cc4)o3)ccc21";"JQDQZOXTHDIVIV-UHFFFAOYSA-N";"InChI=1S/C21H19ClN2O2/c1-24-12-2-3-15-13-17(8-9-18(15)24)23-21(25)20-11-10-19(26-20)14-4-6-16(22)7-5-14/h4-11,13H,2-3,12H2,1H3,(H,23,25)";"False";"-1"
